,record_date,country,currency,country_currency_desc,exchange_rate,effective_date,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day,curr_source
0,2017-03-31,CHAD,CFA FRANC,CHAD-CFA FRANC,617.41,null,36,2017,2,2017,1,03,31,Fiscal_Data
1,2017-03-31,CHILE,PESO,CHILE-PESO,665.2,null,37,2017,2,2017,1,03,31,Fiscal_Data
2,2017-03-31,CHINA,RENMINBI,CHINA-RENMINBI,6.885,null,38,2017,2,2017,1,03,31,Fiscal_Data
3,2017-03-31,COLOMBIA,PESO,COLOMBIA-PESO,2885.3,null,39,2017,2,2017,1,03,31,Fiscal_Data
4,2017-03-31,COMOROS,FRANC,COMOROS-FRANC,460.42,null,40,2017,2,2017,1,03,31,Fiscal_Data
5,2017-03-31,"CONGO, DEM. REP",CONGOLESE FRANC,"CONGO, DEM. REP-CONGOLESE FRANC",1345.0,null,41,2017,2,2017,1,03,31,Fiscal_Data
6,2017-03-31,CONGO,CFA FRANC,CONGO-CFA FRANC,617.41,null,42,2017,2,2017,1,03,31,Fiscal_Data
7,2017-03-31,CROATIA,KUNA,CROATIA-KUNA,6.75,null,45,2017,2,2017,1,03,31,Fiscal_Data
8,2017-03-31,CUBA,PESO,CUBA-PESO,1.0,null,46,2017,2,2017,1,03,31,Fiscal_Data
9,2017-03-31,CYPRUS,EURO,CYPRUS-EURO,0.936,null,47,2017,2,2017,1,03,31,Fiscal_Data
10,2017-03-31,CZECH,KORUNA,CZECH-KORUNA,24.809,null,48,2017,2,2017,1,03,31,Fiscal_Data
11,2017-03-31,DENMARK,KRONE,DENMARK-KRONE,6.959,null,49,2017,2,2017,1,03,31,Fiscal_Data
12,2017-03-31,DJIBOUTI,FRANC,DJIBOUTI-FRANC,177.0,null,50,2017,2,2017,1,03,31,Fiscal_Data
13,2017-03-31,DOMINICAN REPUBLIC,PESO,DOMINICAN REPUBLIC-PESO,47.14,null,51,2017,2,2017,1,03,31,Fiscal_Data
14,2017-03-31,ECUADOR,DOLARES,ECUADOR-DOLARES,1.0,null,52,2017,2,2017,1,03,31,Fiscal_Data
15,2017-03-31,EGYPT,POUND,EGYPT-POUND,18.2,null,53,2017,2,2017,1,03,31,Fiscal_Data
16,2017-03-31,EL SALVADOR,DOLARES,EL SALVADOR-DOLARES,1.0,null,54,2017,2,2017,1,03,31,Fiscal_Data
17,2017-03-31,EQUATORIAL GUINEA,CFA FRANC,EQUATORIAL GUINEA-CFA FRANC,617.41,null,55,2017,2,2017,1,03,31,Fiscal_Data
18,2017-03-31,ERITREA,NAKFA,ERITREA-NAKFA,15.0,null,56,2017,2,2017,1,03,31,Fiscal_Data
19,2017-03-31,ESTONIA,EURO,ESTONIA-EURO,0.936,null,57,2017,2,2017,1,03,31,Fiscal_Data
20,2017-03-31,ETHIOPIA,BIRR,ETHIOPIA-BIRR,22.75,null,58,2017,2,2017,1,03,31,Fiscal_Data
21,2017-03-31,EURO ZONE,EURO,EURO ZONE-EURO,0.936,null,59,2017,2,2017,1,03,31,Fiscal_Data
22,2017-03-31,FIJI,DOLLAR,FIJI-DOLLAR,2.044,null,60,2017,2,2017,1,03,31,Fiscal_Data
23,2017-03-31,FINLAND,EURO,FINLAND-EURO,0.936,null,61,2017,2,2017,1,03,31,Fiscal_Data
24,2017-03-31,FRANCE,EURO,FRANCE-EURO,0.936,null,62,2017,2,2017,1,03,31,Fiscal_Data
25,2017-03-31,GABON,CFA FRANC,GABON-CFA FRANC,617.41,null,63,2017,2,2017,1,03,31,Fiscal_Data
26,2017-03-31,GAMBIA,DALASI,GAMBIA-DALASI,46.0,null,64,2017,2,2017,1,03,31,Fiscal_Data
27,2017-03-31,GEORGIA,LARI,GEORGIA-LARI,2.44,null,65,2017,2,2017,1,03,31,Fiscal_Data
28,2017-03-31,GERMANY FRG,EURO,GERMANY FRG-EURO,0.936,null,66,2017,2,2017,1,03,31,Fiscal_Data
29,2017-03-31,GHANA,CEDI,GHANA-CEDI,4.315,null,67,2017,2,2017,1,03,31,Fiscal_Data
30,2017-03-31,GREECE,EURO,GREECE-EURO,0.936,null,68,2017,2,2017,1,03,31,Fiscal_Data
31,2017-03-31,GRENADA,EAST CARIBBEAN DOLLAR,GRENADA-EAST CARIBBEAN DOLLAR,2.7,null,69,2017,2,2017,1,03,31,Fiscal_Data
32,2017-03-31,GUATEMALA,QUETZAL,GUATEMALA-QUETZAL,7.34,null,70,2017,2,2017,1,03,31,Fiscal_Data
33,2017-03-31,GUINEA BISSAU,CFA FRANC,GUINEA BISSAU-CFA FRANC,613.62,null,71,2017,2,2017,1,03,31,Fiscal_Data
34,2017-03-31,GUINEA,FRANC,GUINEA-FRANC,9225.0,null,72,2017,2,2017,1,03,31,Fiscal_Data
35,2017-03-31,GUYANA,DOLLAR,GUYANA-DOLLAR,215.0,null,73,2017,2,2017,1,03,31,Fiscal_Data
36,2017-03-31,COSTA RICA,COLON,COSTA RICA-COLON,550.05,null,43,2017,2,2017,1,03,31,Fiscal_Data
37,2017-03-31,COTE D'IVOIRE,CFA FRANC,COTE D'IVOIRE-CFA FRANC,613.62,null,44,2017,2,2017,1,03,31,Fiscal_Data
38,2017-03-31,HAITI,GOURDE,HAITI-GOURDE,67.043,null,74,2017,2,2017,1,03,31,Fiscal_Data
39,2017-03-31,HONDURAS,LEMPIRA,HONDURAS-LEMPIRA,23.5,null,75,2017,2,2017,1,03,31,Fiscal_Data
40,2017-03-31,HONG KONG,DOLLAR,HONG KONG-DOLLAR,7.77,null,76,2017,2,2017,1,03,31,Fiscal_Data
41,2017-03-31,HUNGARY,FORINT,HUNGARY-FORINT,287.77,null,77,2017,2,2017,1,03,31,Fiscal_Data
42,2017-03-31,ICELAND,KRONA,ICELAND-KRONA,112.86,null,78,2017,2,2017,1,03,31,Fiscal_Data
43,2017-03-31,INDIA,RUPEE,INDIA-RUPEE,64.65,null,79,2017,2,2017,1,03,31,Fiscal_Data
44,2017-03-31,INDONESIA,RUPIAH,INDONESIA-RUPIAH,13270.0,null,80,2017,2,2017,1,03,31,Fiscal_Data
45,2017-03-31,IRAN,RIAL,IRAN-RIAL,32422.0,null,81,2017,2,2017,1,03,31,Fiscal_Data
46,2017-03-31,IRAQ,DINAR,IRAQ-DINAR,1166.0,null,82,2017,2,2017,1,03,31,Fiscal_Data
47,2017-03-31,IRELAND,EURO,IRELAND-EURO,0.936,null,83,2017,2,2017,1,03,31,Fiscal_Data
48,2017-03-31,ISRAEL,SHEKEL,ISRAEL-SHEKEL,3.633,null,84,2017,2,2017,1,03,31,Fiscal_Data
49,2017-03-31,ITALY,EURO,ITALY-EURO,0.936,null,85,2017,2,2017,1,03,31,Fiscal_Data
50,2017-03-31,JAMAICA,DOLLAR,JAMAICA-DOLLAR,128.0,null,86,2017,2,2017,1,03,31,Fiscal_Data
51,2017-03-31,JAPAN,YEN,JAPAN-YEN,111.84,null,87,2017,2,2017,1,03,31,Fiscal_Data
52,2017-03-31,JERUSALEM,SHEKEL,JERUSALEM-SHEKEL,3.633,null,88,2017,2,2017,1,03,31,Fiscal_Data
53,2017-03-31,JORDAN,DINAR,JORDAN-DINAR,0.708,null,89,2017,2,2017,1,03,31,Fiscal_Data
54,2017-03-31,KAZAKHSTAN,TENGE,KAZAKHSTAN-TENGE,314.8,null,90,2017,2,2017,1,03,31,Fiscal_Data
55,2017-03-31,KENYA,SHILLING,KENYA-SHILLING,102.95,null,91,2017,2,2017,1,03,31,Fiscal_Data
56,2017-03-31,KOREA,WON,KOREA-WON,1116.33,null,92,2017,2,2017,1,03,31,Fiscal_Data
57,2017-03-31,KUWAIT,DINAR,KUWAIT-DINAR,0.305,null,93,2017,2,2017,1,03,31,Fiscal_Data
58,2017-03-31,KYRGYZSTAN,SOM,KYRGYZSTAN-SOM,68.5,null,94,2017,2,2017,1,03,31,Fiscal_Data
59,2017-03-31,LAOS,KIP,LAOS-KIP,8190.0,null,95,2017,2,2017,1,03,31,Fiscal_Data
60,2017-03-31,LATVIA,EURO,LATVIA-EURO,0.936,null,96,2017,2,2017,1,03,31,Fiscal_Data
61,2017-03-31,LEBANON,POUND,LEBANON-POUND,1500.0,null,97,2017,2,2017,1,03,31,Fiscal_Data
62,2017-03-31,LESOTHO,SOUTH AFRICAN RAND,LESOTHO-SOUTH AFRICAN RAND,13.299,null,98,2017,2,2017,1,03,31,Fiscal_Data
63,2017-03-31,LIBERIA,U.S. DOLLAR,LIBERIA-U.S. DOLLAR,92.0,null,99,2017,2,2017,1,03,31,Fiscal_Data
64,2017-03-31,LIBYA,DINAR,LIBYA-DINAR,1.417,null,100,2017,2,2017,1,03,31,Fiscal_Data
65,2017-03-31,LITHUANIA,EURO,LITHUANIA-EURO,0.936,null,101,2017,2,2017,1,03,31,Fiscal_Data
66,2017-03-31,LUXEMBOURG,EURO,LUXEMBOURG-EURO,0.936,null,102,2017,2,2017,1,03,31,Fiscal_Data
67,2017-03-31,MACAO,MOP,MACAO-MOP,8.0,null,103,2017,2,2017,1,03,31,Fiscal_Data
68,2017-03-31,MACEDONIA FYROM,DENAR,MACEDONIA FYROM-DENAR,57.31,null,104,2017,2,2017,1,03,31,Fiscal_Data
69,2017-03-31,MADAGASCAR,ARIA,MADAGASCAR-ARIA,3219.33,null,105,2017,2,2017,1,03,31,Fiscal_Data
